"SERVICECODE","AVG_SALES","CLOSERATE"
"CS200033",6903882,2.0926053507865426570214720404179584338
"CS200016",8640381,3.31830197480951640491369926916498211787
"CS200030",12449685,2.69013441211013963199791204489103484275
"CS200029",12848249,1.88744672607516466485858194498256489733
"CS200037",13535746,3.11212469472776899870708231575922999569
"CS200031",13558314,1.85941679170200273990475569182595081219
"CS200028",15944142,1.96661266057169309107742159472283300544
"CS300028",20619441,1.47301155676410605030591434398368456832
"CS200005",25388306,2.22383887614678899082568807339449541284
"CS200003",25671054,1.96437038542301700196437038542301700196
"CS200034",26445521,2.74284451320587910266327771024422588131
"CS100010",28208123,4.29582534982291122336410613714219357835
"CS100008",29197161,4.5859599661685931773329574288130814773
"CS300011",31001183,3.0989898989898989898989898989898989899
"CS100009",32348728,4.22140608604407135362014690451206715635
"CS300035",32421675,1.36062822203572713103944371178515765496
"CS200032",32514954,0.4798336798336798336798336798336798336798
"CS300029",33314162,1.55707640007156915369475755949185900877
"CS300017",34707234,0.7225829725829725829725829725829725829726
"CS100007",34908268,4.12782923388333435564006624547629270686
"CS300027",36668520,0.8985860225965766862864488194303497733577
"CS300033",39178130,0.9040218132242672119972733469665985003408
"CS300022",40484212,2.98326046939714680165669581224114127934
"CS200001",42445130,2.23199948199948199948199948199948199948
"CS200026",42532976,1.15230080086873897108728111850142527487
"CS300015",43386368,0.8693689627155366976618217929042159429448
"CS300014",44377372,1.2445895385518303866187367031032206001
"CS200036",49508218,0.9340630005339028296849973304858515750133
"CS100004",49856744,2.61581671295127493057308760414036859379
"CS100006",50655470,2.82816605359957961114030478192327903311
"CS100001",51637281,3.79741186970102632753235162873717090585
"CS200002",53826500,1.47266695514207413817972017885475263234
"CS300004",53869360,2.0255940302415395692871637101525168554
"CS100003",57708971,2.90092122579432224102274863696183493138
"CS200025",58263784,0.9857896278933489598593612657486082625256
"CS100002",60757912,2.97880236507736822241791420304440810165
"CS200017",60900082,1.70279673491235113073732102234711628529
"CS300016",64928207,0.7925463714847422856654414907257030515429
"CS300043",66495458,2.02580017037848363149567968845077278812
"CS300003",69563195,1.05049071044997222393679402506018147028
"CS200008",79278966,1.29147021003000428632661808829832833262
"CS100005",81253139,2.71988669284748599755359557072040172536
"CS200024",85463387,1.60649320746028091181211144370250978586
"CS300025",99934867,0.1113861386138613861386138613861386138614
"CS200019",107363471,2.54334916864608076009501187648456057007
"CS300026",111644297,0.5586293618359006601697579377554228230116
"CS300036",116433464,0.7082480717771131748780103887926963639226
"CS300008",119191019,1.26106870229007633587786259541984732824
"CS300021",119313286,0.9640207471603965596480861401089882476528
"CS300001",131129562,3.20704549279183261345150614236831772031
"CS300020",134007120,0.9334700854700854700854700854700854700855
"CS300010",136895245,2.69420390255166839856829465419697494516
"CS300009",138015784,1.85221172793368213630495345518787796426
"CS300007",140535963,2.24165786366743304542347604548561486361
"CS200007",146521940,0.9469380802316668086193680265735456945746
"CS200006",151853420,0.9094524319363719791985316610584276537167
"CS300024",169266178,1.03094121889650198341146772448611611973
"CS300018",185518065,1.4578161539845295916531750314804821011
"CS300031",186000656,0.6344817602779386218876664736537348002316
"CS300006",191381245,0.8188656980603289328121542886643557784497
"CS300002",194505980,3.31367982348614856582495709732777641579
"CS300032",258437683,0.5598279787503162155325069567417151530483
"CS300019",294016607,1.04140476903122817519704679237753167714
